iter	Passed	Remaining
0	1	120
1	2	114
2	3	106
3	4	100
4	4	93
5	5	90
6	6	85
7	7	81
8	7	79
9	8	77
10	9	77
11	10	75
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	14	67
18	15	65
19	16	64
20	16	62
21	17	61
22	18	60
23	18	59
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	30	41
42	30	40
43	31	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
